gamma_shape,gamma_scale
0.637424878,3424.821108
0.748600935,2844.09591
0.587304824,4327.481649
0.584950385,3972.144909
0.536020158,3755.718713
0.759328714,3039.445788
0.666764191,3157.90424
0.732532268,2814.930465
0.706365232,2959.796276
0.588138469,3138.832091
0.945864499,3003.650875
0.849651507,2639.219314
0.678714987,2862.847778
0.63515933,2987.624908
0.559378313,3252.190472
0.68874098,3045.579465
1.071888038,2344.241765
0.620222568,3774.164026
0.814548477,2960.902213
0.549214797,3546.013119
0.513612018,3894.209079
0.574558628,2862.686835
0.597151955,3209.143232
0.670703408,2982.104101
0.680097962,2766.947022
0.540392462,3285.361549
0.634681363,3227.370209
0.585322169,3558.582525
0.550705193,3352.544748
0.596503164,3608.895178
0.533643483,3019.975841
0.666026295,2301.895719
0.622359453,2852.401335
0.678420083,2853.727146
0.742989523,3034.691999
0.562861687,3281.064102
0.761280596,2421.815636
0.652571593,2939.709741
0.659602755,2666.74768
0.609881089,3194.086554
0.650085518,2993.349078
0.698237926,2883.417832
0.549257129,2895.312944
0.713183969,2951.503575
0.566446307,3169.123941
0.59855101,2828.077433
0.661908931,2992.053097
0.572701093,3390.464245
0.656596503,2892.005204
0.70787983,2734.371526
0.556408639,3307.914398
0.661824128,2824.532487
0.831266586,2488.342364
0.605662829,3055.704625
0.602371678,3002.353863
0.848458258,2050.662738
0.707808962,2699.566086
0.519934808,3528.27386
0.689310574,2495.313115
0.625098376,2711.076096
0.605431542,2650.542322
0.681400683,2675.022556
0.671757018,3090.043818
0.55829266,2691.143378
0.561496546,2592.359559
0.559085522,1903.139593
0.625706841,2764.395458
0.491047723,3472.861863
0.645771312,2920.244505
0.537710227,2668.670262
0.551816918,2513.615033
0.571010479,2272.453615
0.628799162,2913.697322
0.641213809,2805.653347
0.771897558,2348.710443
0.671886183,3038.405367
0.789667482,2851.17593
0.80301815,2947.999214
0.588826438,2743.42483
0.604438647,2141.638666
0.625784542,2604.191911
0.585068608,3490.130434
0.586514366,4339.896706
0.781463532,2399.280227
0.819649235,2828.691574
0.77778125,2923.956414
0.644999897,2512.523719
0.573166914,3364.600033
0.68164945,2759.840489
0.600288803,3153.714065
0.571358476,3788.799292
0.648194241,3065.490228
0.603342385,3514.347183
0.602573919,3468.834448
0.631661964,3136.097717
0.726079019,2612.301321
0.655935326,2870.004042
0.565718811,2656.290612
0.579409531,2579.67256
0.578143701,2590.710497
0.623367967,2718.556465
0.614383159,2620.270825
0.555978734,2997.716578
0.537611491,2278.004943
0.525311588,2305.460974
0.533373724,2322.941363
0.55825471,2646.46928
0.51316979,2947.827543
0.639208203,2590.183698
0.615397278,2954.396025
0.56672052,2779.203961
0.58777914,2510.280121
0.488414837,3510.329768
0.533234107,2950.960209
0.65773639,2433.531676
0.657495602,2637.745945
0.56804004,2941.172792
0.53343422,2969.941489
0.541543438,3236.522734
0.573038228,3356.052707
0.613086194,3029.201291
0.668367362,2618.320554
0.632221178,3111.700405
0.514343426,3096.514657
0.548533948,2497.458259
0.6781975,3230.329617
0.570040319,3027.424955
0.555329671,2348.773255
0.594810205,2319.538524
0.649400488,2584.332317
0.560383463,3055.840583
0.540297184,2470.37491
0.731968044,2213.437851
0.618584309,2309.243679
0.628313912,2213.45439
0.578667909,2307.369862
0.540110803,2896.709401
0.558403781,2722.419218
0.541668923,2593.191345
0.585493619,2566.622221
