gamma_shape,gamma_scale
0.344645471,833.2820884
0.34705154,774.3316024
0.358145052,890.2851533
0.366913707,889.895045
0.354812802,916.0126114
0.395437003,933.0359737
0.355665959,735.6893767
0.363472153,911.6338662
0.368310172,893.2092986
0.369282743,904.9385051
0.343292706,640.5578194
0.370601975,788.1542696
0.372114255,913.3052616
0.368107285,866.976664
0.35485723,904.0797938
0.352285249,810.2026859
0.370300602,832.6170701
0.380887542,921.3168976
0.357870823,809.1129437
0.365808957,868.7270493
0.355492075,882.7118607
0.345047238,694.6124905
0.357045694,797.8421304
0.381316118,848.7183576
0.375488468,935.3811228
0.35230797,770.4874485
0.358361402,783.1796729
0.382479229,1000.86801
0.380807477,1006.929524
0.385837234,935.8366521
0.370256789,1044.099832
0.371187438,1034.883414
0.382944341,1032.355382
0.384375964,942.2198594
0.395109572,1000.629685
0.392636595,1017.075035
0.378823603,1024.790284
0.394339869,1079.077814
0.37805091,988.2833503
0.379614169,995.3232051
0.37454365,1027.893582
0.390997269,1019.074922
0.372783931,930.2790017
0.38136928,1000.976615
0.376719814,927.017457
0.359359597,954.2944163
0.359985864,1027.578368
0.384631487,1002.562139
0.37353318,1041.486681
0.367596173,998.8743114
0.36093759,1062.747933
0.380520731,1038.788692
0.377611944,1065.010958
0.388700267,1006.208284
0.36801089,1076.30345
0.390403228,1091.778141
0.362850351,1015.654833
0.391073694,1092.326091
0.37476259,1006.615562
0.373358241,1093.925847
0.368742483,1031.983153
0.37977086,1149.720324
0.372818015,1130.442792
0.375993624,1148.228563
0.371867435,1091.473972
0.378651169,1154.962731
0.378268794,1149.378221
0.37197671,1036.911952
0.380919812,1157.431861
0.362541049,1192.125764
0.370051992,1305.439576
0.373623116,1146.532539
0.374493085,1179.837386
0.372338559,1148.27832
0.359216298,1032.387547
0.343415172,879.6659536
0.349744148,930.342311
0.341332654,908.8654
0.343478073,947.2577178
0.306496789,739.3782834
0.303049812,754.4189617
0.308888591,766.0516197
0.310089111,729.5718218
0.315101671,730.1884129
0.3084043,719.875122
0.313603576,705.5226463
0.313543355,727.0994583
0.310621482,686.8302774
0.313492612,734.6047737
0.309132832,687.6646821
0.305014222,675.4954335
0.305722296,770.3017849
0.301906934,744.381984
0.300026792,789.7583277
0.303308229,730.0259505
0.299448502,735.1690409
0.306690242,774.4705664
0.311323328,727.6947073
0.298594769,743.0639204
0.309470926,737.7077049
0.302443154,724.6899085
0.29139596,793.6565473
0.297359011,781.5223689
0.309827167,729.8499897
0.297830695,758.3222977
0.298298658,751.0529539
0.305114694,754.6751305
0.311859106,696.9958186
0.300567725,737.0468554
0.3060934,732.7501505
0.302695383,771.1107817
0.299925878,737.0157989
0.304474593,740.5152163
0.324271074,814.4132812
0.328525646,815.0130192
0.365590038,1053.566177
0.346664094,1028.824062
0.355376354,1099.43962
0.382935013,1150.504046
0.360386434,1103.932162
0.365823546,1124.992367
0.386016321,1151.162225
0.375678552,1191.859331
0.365757895,1036.204562
0.3744704,1147.840733
0.377905157,1142.112152
0.391551345,1162.761241
0.386851293,1193.020539
0.367076328,1089.637139
0.373970708,1161.068207
0.376399087,1189.484543
0.359298273,1143.766769
0.356973862,1090.064443
0.376280737,1218.923658
0.389369468,1120.020391
0.38069993,1169.14124
0.358805261,972.1669169
0.374619003,1198.690914
0.368085952,1148.258293
0.3768908,1105.45946
0.354979943,1117.620338
0.36853103,1057.356911
0.359157186,1013.61899
0.352114451,992.9821284
0.371096472,1016.962498
0.382363204,1094.270166
0.382070379,1087.553978
0.371050402,1006.694088
0.3749797,1043.300285
0.378922178,999.5789331
0.378974814,1037.571934
0.386209387,1036.945202
0.380881717,1109.697215
0.374261706,1022.325663
0.37399781,1053.822919
0.373471561,1046.111001
0.391095623,1069.794408
0.377005162,983.6418943
0.385816274,1025.643004
0.381623417,1062.431263
0.386102871,1027.675239
0.372490332,968.3847101
0.383890881,943.4261743
0.392319171,978.3711539
0.406428898,1068.093825
0.409163573,981.1245539
0.400347077,1015.626201
0.396045822,1057.095517
0.391740735,1017.959387
0.401519703,927.1011529
0.384600204,986.1423364
0.405078657,934.1708122
0.394144495,907.9131979
0.387286474,941.2155418
0.40534821,940.4592393
0.398490234,1018.222435
0.408677287,988.7751187
0.392721453,930.3516768
0.393844264,979.0613229
0.393870417,940.3888731
0.386060514,848.253221
0.395718124,925.5333092
0.389444493,934.9108287
0.395418994,899.9958271
0.401202182,907.4698489
0.405765517,937.4916268
0.395966048,919.3044478
0.388750417,972.88794
0.363595192,985.6169709
0.378952824,986.0462366
0.380379721,928.0045657
0.368988604,960.7406851
0.353362887,945.6104893
0.382651609,983.7843782
0.38678412,1016.585722
0.374687243,965.6594201
0.370935816,992.3764698
0.382205507,1006.221328
