gamma_shape,gamma_scale
0.282170291,177.7251263
0.28089092,175.801951
0.277182183,176.7260187
0.280572254,175.3292476
0.286060101,165.7332592
0.280565353,168.2844689
0.284269481,161.8549738
0.283766144,161.3945904
0.286678893,155.8606321
0.284184737,152.0709793
0.29026431,144.2173511
0.287308911,146.2640761
0.286584208,148.7752422
0.285525448,148.1362613
0.28673254,139.871633
0.288281706,136.1590356
0.284364392,139.897106
0.287857808,136.1944144
0.285645522,135.9437977
0.288451009,135.2613024
0.287228206,134.9007076
0.287712675,133.1324092
0.285611524,132.8795018
0.285343985,130.965453
0.287317747,130.2862857
0.287348206,127.6491369
0.287323261,130.6999491
0.285064486,129.5030056
0.28748511,128.1788422
0.287018007,130.2275351
0.282402783,134.1851677
0.282886147,132.8029656
0.285561533,130.7428089
0.282324242,134.0936923
0.284918463,129.2263534
0.283091694,130.9791173
0.281149954,136.0558786
0.280355533,137.611862
0.280348384,136.3560263
0.282908655,135.7514131
0.278917859,144.610509
0.281557886,139.886548
0.280779994,139.4271557
0.281013352,140.5648243
0.280608222,138.657948
0.278364723,142.469299
0.279155297,144.5882372
0.279824966,141.3618198
0.278347052,145.5901462
0.280950957,143.5472907
0.27785615,144.0217989
0.280919352,140.4936213
0.278991248,146.7838133
0.276931744,150.3688769
0.277888712,151.2560969
0.27801536,151.7507148
0.278201073,154.3385851
0.27746355,158.1214349
0.275253524,156.3306082
0.276141686,159.0537703
0.274644674,161.7043953
0.275394138,163.1004349
0.273108631,167.3528762
0.270592104,170.078069
0.272521263,168.2892
0.272532505,174.4644241
0.273695806,176.309705
0.273410928,175.3244213
0.271760506,183.0195273
0.269853225,192.8574289
0.27194374,191.2829612
0.270638124,203.3874713
0.265632144,217.1291081
0.26859476,210.9741109
0.26827978,221.3308325
0.269545418,224.1616743
0.267250514,235.3509876
0.269414938,237.069845
0.265212004,245.6002212
0.268366523,248.2862564
0.272557726,255.9671123
0.26533889,267.3194403
0.265567794,282.774762
0.262573612,291.3808565
0.261571781,307.2994446
0.262734364,307.414058
0.260784236,327.7791061
0.264328402,324.9186661
0.263831499,328.1151029
0.259014921,360.919901
0.259300315,365.982583
0.262250862,365.1927114
0.262168041,367.7724913
0.259328928,387.2560908
0.258579338,398.0423673
0.25862126,403.9217191
0.252753606,449.4936159
0.253535235,439.1500651
0.253120758,452.4387492
0.251570373,456.6885669
0.259077192,443.1046799
0.249990967,450.5087694
0.25040045,469.9964723
0.259532378,440.7660503
0.248843922,469.3558068
0.256208384,450.4933049
0.251045573,474.0870436
0.248687081,469.8833347
0.250714407,480.1223715
0.257395414,448.3278768
0.256623183,463.2453972
0.255588606,475.8810125
0.256873789,470.6045698
0.2534097,466.1322796
0.252045866,501.0850721
0.248105554,493.2571769
0.250464634,491.9366424
0.244345077,508.6640684
0.246736997,512.1692527
0.246910759,522.2714011
0.248218266,510.0094879
0.243573553,519.2049192
0.245837122,517.8603229
0.240999621,539.7348276
0.248255938,522.3609369
0.242756892,548.6064013
0.246193509,527.8393743
0.243772017,528.330475
0.250398248,497.7944713
0.250867975,539.5832992
0.244456921,531.3660319
0.245740055,513.9140357
0.242747893,524.5054002
0.249866423,519.7062541
0.250239314,525.6751151
0.244964866,528.1569862
0.248560503,494.9863029
0.252588354,487.370951
0.253395829,493.9826101
0.253598675,472.0289097
0.262748231,449.1305649
0.252090187,485.2167679
0.253114813,476.4267653
0.250132658,464.3761196
0.258609245,426.5221585
0.257731557,434.4694349
0.265627437,395.7297468
0.26279027,387.2928703
0.265257255,371.341341
0.268086659,347.7095201
0.266108788,342.3842145
0.267063997,328.1154062
0.267563511,319.3012791
0.270003229,302.9437901
