gamma_shape,gamma_scale
0.295253937,53.76536641
0.295175664,54.20970886
0.292414427,55.61357148
0.296280893,52.9272118
0.29632847,53.01965514
0.296045627,52.86884726
0.297370982,52.74146509
0.295812353,53.68604476
0.298000048,52.82250148
0.296275074,53.43331183
0.301916319,50.13219679
0.299504741,51.55696826
0.2979133,53.06556186
0.296103472,54.91310103
0.29720154,54.12311705
0.298026194,53.91441928
0.295412734,55.70115235
0.297889894,53.93438954
0.296269893,56.25745074
0.297986447,56.00071735
0.296068953,56.83153411
0.298391759,55.22206637
0.297027113,56.15234878
0.294822287,57.14234285
0.297295109,56.44312187
0.297364174,56.76380781
0.296061453,57.93415307
0.293386722,60.1976546
0.297595678,57.24910946
0.296380234,57.71583729
0.291693708,62.88310922
0.29100291,63.06526175
0.293898969,61.23165846
0.291840702,62.93861795
0.293115681,62.25251026
0.291921159,62.9483823
0.289886815,65.83976457
0.289027163,66.11330836
0.289497334,65.42992645
0.29015509,64.83806935
0.288220251,66.63624193
0.290447309,64.69345778
0.288020867,69.03141992
0.288777326,68.45837238
0.288216643,69.06533618
0.286491517,70.36596764
0.285886437,69.81937564
0.287772816,68.5097813
0.287023848,68.73474283
0.287936628,67.76197468
0.287249127,69.08982177
0.287616334,68.27496245
0.288396207,67.57735714
0.285474322,69.72049072
0.286465374,69.85674816
0.286330794,69.30543856
0.286871238,68.81547988
0.285918514,69.80340787
0.28536766,70.12289013
0.285499201,70.52409505
0.282777946,74.88905472
0.282171599,75.87183431
0.280890467,76.79918143
0.279811327,77.30883018
0.280955116,76.36951194
0.282014953,74.92991526
0.282884326,73.77275797
0.282590283,74.77312728
0.280684682,76.22943117
0.279845868,77.16162927
0.280653233,76.35502892
0.279214116,77.80560271
0.278302767,76.23955949
0.279051099,75.60439278
0.278404049,75.72551842
0.280314677,74.57624129
0.278759547,75.80657663
0.278534969,76.46194019
0.279534872,76.29232978
0.281566013,73.88363555
0.281911117,73.48650673
0.27878289,76.91149729
0.276821435,78.63197067
0.27703767,78.54275147
0.279696278,73.53376062
0.277913839,74.78809015
0.277820788,74.85742841
