input_length,output_length,latency,timestamp,architecture,scale
10754,117,0.00160232,0,Dense,30-100B
250,516,0.006954944,1049637,Dense,30-100B
2218,207,0.001228062,3905045,Dense,30-100B
656,48,0.000674795,6119167,Dense,30-100B
858,595,0.002159954,8978952,Dense,30-100B
3896,730,0.002211624,10802389,Dense,30-100B
3678,263,0.002090863,10907507,Dense,30-100B
814,35,0.001247902,11993187,Dense,30-100B
1931,83,0.002160784,13006432,Dense,30-100B
12051,174,0.002176514,13891217,Dense,30-100B
306,1397,0.001221112,14811769,Dense,30-100B
2044,520,0.002070082,15808121,Dense,30-100B
58,726,0.001323003,15939231,Dense,30-100B
2946,121,0.001216323,16006946,Dense,30-100B
440,1243,0.001427513,16896040,Dense,30-100B
903,2386,0.007471894,17882855,Dense,30-100B
2035,678,0.001349083,21978039,Dense,30-100B
588,51,0.004973571,22009488,Dense,30-100B
4186,718,0.001500433,25955703,Dense,30-100B
371,25,0.000949945,29784540,Dense,30-100B
3628,107,0.001632549,29921105,Dense,30-100B
3570,353,0.005416723,32034660,Dense,30-100B
18,460,0.001232993,35843185,Dense,30-100B
3168,306,0.001224983,37809342,Dense,30-100B
1329,10,0.002281844,38938873,Dense,30-100B
947,100,0.00165388,41982735,Dense,30-100B
1710,34,0.000705585,42947670,Dense,30-100B
1832,3,0.000839295,43907855,Dense,30-100B
1671,319,0.001656271,44906670,Dense,30-100B
326,60,0.001296153,44925381,Dense,30-100B
225,3,0.001294383,46913123,Dense,30-100B
936,28,0.001307863,48954290,Dense,30-100B
242,46,0.000750694,49959539,Dense,30-100B
3801,753,0.00161236,51828662,Dense,30-100B
11094,254,0.000861462,51881198,Dense,30-100B
1305,64,0.000824805,52797737,Dense,30-100B
5261,707,0.001242963,53899363,Dense,30-100B
1417,202,0.000724482,56844260,Dense,30-100B
5379,22,0.001464563,57921016,Dense,30-100B
304,20,0.000719884,58859660,Dense,30-100B
12060,76,0.00159767,58876793,Dense,30-100B
656,287,0.000862546,61782142,Dense,30-100B
3417,33,0.001779971,61816592,Dense,30-100B
2625,118,0.000680465,62970439,Dense,30-100B
445,1445,0.000695765,72784995,Dense,30-100B
815,1701,0.001732294,72918929,Dense,30-100B
511,24,0.001124712,73035964,Dense,30-100B
1941,120,0.001694591,81920962,Dense,30-100B
5891,278,0.001399523,82057485,Dense,30-100B
2225,211,0.001882761,89893808,Dense,30-100B
79,1,0.001281682,89929333,Dense,30-100B
769,150,0.001234222,89931358,Dense,30-100B
224,3,0.001241543,91851683,Dense,30-100B
4924,116,0.0018147,95962022,Dense,30-100B
5848,687,0.003270417,96828843,Dense,30-100B
400,94,0.002196843,97055535,Dense,30-100B
1314,163,0.001266622,98994413,Dense,30-100B
976,48,0.001313373,102838994,Dense,30-100B
1265,249,0.000621922,102927562,Dense,30-100B
2092,229,0.00163866,104794692,Dense,30-100B
661,3,0.000711834,108867971,Dense,30-100B
231,5,0.000758735,110007775,Dense,30-100B
219,2,0.001849224,112025479,Dense,30-100B
242,8,0.000719755,112820015,Dense,30-100B
2841,380,0.00153691,114786344,Dense,30-100B
4106,142,0.000719495,115805614,Dense,30-100B
1031,46,0.002153713,117920566,Dense,30-100B
221,3,0.001252072,118847136,Dense,30-100B
227,6,0.001241472,122890248,Dense,30-100B
2644,83,0.001689321,123877607,Dense,30-100B
1408,187,0.002170374,125801762,Dense,30-100B
130,1,0.000793655,127978729,Dense,30-100B
962,60,0.000705512,129819729,Dense,30-100B
364,84,0.000966546,134978466,Dense,30-100B
301,13,0.000704585,135792707,Dense,30-100B
348,64,0.001215632,135940404,Dense,30-100B
