input_length,output_length,latency,timestamp,architecture,scale
214,722,0.0015,0.0,Dense,30-100B
232,5,0.0013,55908.0,Dense,30-100B
1147,675,0.0021,2069861.0,Dense,30-100B
6156,298,0.0014,3008329.0,Dense,30-100B
233,848,0.0008,3012731.0,Dense,30-100B
385,50,0.0013,6087345.0,Dense,30-100B
806,32,0.0013,8152593.0,Dense,30-100B
957,49,0.0013,12238682.0,Dense,30-100B
244,158,0.0013,13105638.0,Dense,30-100B
1317,801,0.0012,17072071.0,Dense,30-100B
496,36,0.0013,18051534.0,Dense,30-100B
2045,233,0.0017,18097017.0,Dense,30-100B
4688,789,0.0015,19086818.0,Dense,30-100B
84,572,0.0012,20019903.0,Dense,30-100B
1923,184,0.0006,20077856.0,Dense,30-100B
2005,192,0.0006,23085262.0,Dense,30-100B
883,53,0.0021,24082043.0,Dense,30-100B
231,376,0.0021,24158850.0,Dense,30-100B
489,16,0.0007,25000835.0,Dense,30-100B
60,1,0.0013,25130116.0,Dense,30-100B
5232,135,0.0008,26023716.0,Dense,30-100B
3224,146,0.0006,31065151.0,Dense,30-100B
257,46,0.0014,33202385.0,Dense,30-100B
550,1515,0.0006,35032768.0,Dense,30-100B
3641,2470,0.0013,36051811.0,Dense,30-100B
3193,812,0.0008,41133373.0,Dense,30-100B
3566,53,0.0012,42054219.0,Dense,30-100B
553,14,0.0008,43091765.0,Dense,30-100B
1407,2,0.0008,45054148.0,Dense,30-100B
824,797,0.0012,46040597.0,Dense,30-100B
799,33,0.0022,47055872.0,Dense,30-100B
398,49,0.0009,47091951.0,Dense,30-100B
1187,94,0.002,49163157.0,Dense,30-100B
338,33,0.0227,50023816.0,Dense,30-100B
1427,157,0.0031,52050867.0,Dense,30-100B
828,146,0.0013,52070944.0,Dense,30-100B
5000,629,0.0007,52087760.0,Dense,30-100B
3344,99,0.0023,54020355.0,Dense,30-100B
949,68,0.0009,54144728.0,Dense,30-100B
2721,95,0.0007,57119475.0,Dense,30-100B
427,0,0.0007,59024144.0,Dense,30-100B
227,7,0.0015,59090186.0,Dense,30-100B
118,1114,0.0015,61017799.0,Dense,30-100B
221,2,0.0015,62055911.0,Dense,30-100B
909,389,0.0017,62162154.0,Dense,30-100B
1792,1731,0.0041,64041159.0,Dense,30-100B
44,1167,0.0007,64063407.0,Dense,30-100B
