input_length,output_length,latency,timestamp,architecture,scale
6837,452,0.000811362,0,MoE,>100B
8098,346,0.002438025,82577,MoE,>100B
7865,263,0.001247312,90137,MoE,>100B
2030,624,0.001690961,914393,MoE,>100B
2940,60,0.000770234,975843,MoE,>100B
1208,286,0.002088884,1103699,MoE,>100B
5034,6,0.00156276,2032380,MoE,>100B
1522,40,0.00164108,2049536,MoE,>100B
671,120,0.003221026,2053922,MoE,>100B
8073,521,0.002121084,2144802,MoE,>100B
8853,187,0.002428714,2911160,MoE,>100B
101,5,0.001579204,3069901,MoE,>100B
3035,642,0.003764262,3109284,MoE,>100B
1207,295,0.001980972,3934701,MoE,>100B
3545,2675,0.001665651,4046930,MoE,>100B
3883,219,0.002068204,4069825,MoE,>100B
6427,247,0.000890861,6125163,MoE,>100B
3439,2734,0.00168836,7035832,MoE,>100B
6688,391,0.00169754,7081579,MoE,>100B
1121,273,0.015793401,7142969,MoE,>100B
101,5,0.001246053,8012147,MoE,>100B
4235,291,0.002099994,8014069,MoE,>100B
796,219,0.002194844,8909547,MoE,>100B
660,43,0.002192844,9116841,MoE,>100B
228,10,0.00159096,9982846,MoE,>100B
660,48,0.002284395,9986208,MoE,>100B
10481,139,0.000791145,10006911,MoE,>100B
5485,40,0.000851054,10033634,MoE,>100B
603,2465,0.001834372,10065167,MoE,>100B
4645,579,0.00309975,10958278,MoE,>100B
3408,2535,0.000616722,11071791,MoE,>100B
14990,673,0.00156968,11076493,MoE,>100B
472,70,0.008572467,12093660,MoE,>100B
1072,485,0.00163651,13242917,MoE,>100B
40107,1049,0.002921206,13258046,MoE,>100B
2796,242,0.004857849,13911952,MoE,>100B
1321,75,0.000743734,14010030,MoE,>100B
3595,0,1.5685238830000001,14019206,MoE,>100B
8143,277,0.00177131,14031050,MoE,>100B
1024,365,0.001672621,14032571,MoE,>100B
14452,606,0.000709225,14033386,MoE,>100B
8643,222,0.002252754,14043484,MoE,>100B
4490,6,0.001631151,14889945,MoE,>100B
1147,471,0.002076355,14902364,MoE,>100B
2693,1162,0.002173455,14903133,MoE,>100B
3546,287,0.001295942,14927909,MoE,>100B
3265,2424,0.00172726,14995142,MoE,>100B
840,92,0.000631221,15054793,MoE,>100B
10458,1818,0.00169035,15919024,MoE,>100B
637,120,0.00157789,16045306,MoE,>100B
16945,830,0.002175523,16046598,MoE,>100B
4311,212,0.001075337,16875497,MoE,>100B
32638,761,0.002180404,16890572,MoE,>100B
4367,483,0.002155934,16972149,MoE,>100B
701,95,0.001880211,17007265,MoE,>100B
2213,64,0.001315752,17884708,MoE,>100B
708,61,0.001891832,19893388,MoE,>100B
704,52,0.002111834,19972630,MoE,>100B
5301,243,2.493e-05,19997501,MoE,>100B
21028,348,0.001363983,20998506,MoE,>100B
8463,521,0.000795632,21018700,MoE,>100B
1040,0,0.002164553,21073135,MoE,>100B
603,17,0.002156163,21983216,MoE,>100B
708,77,0.001736321,22964225,MoE,>100B
4280,167,0.000846762,23025399,MoE,>100B
2265,654,0.002700366,23903895,MoE,>100B
6707,1661,0.001638703,24086489,MoE,>100B
2963,62,0.001263753,24941907,MoE,>100B
1663,246,0.001754643,25002771,MoE,>100B
2844,1973,0.003421176,26879753,MoE,>100B
4245,483,0.000724331,26883446,MoE,>100B
889,2555,0.002087474,26983921,MoE,>100B
8192,538,0.002331185,26985412,MoE,>100B
1361,117,0.000742365,26992053,MoE,>100B
8844,753,2.155e-05,27047117,MoE,>100B
3267,60,0.002161822,27949332,MoE,>100B
2635,119,0.001299229,27972271,MoE,>100B
818,72,0.002350795,28056419,MoE,>100B
433,63,0.006647731,28057793,MoE,>100B
13724,1805,0.002254614,28127619,MoE,>100B
221,29,0.002586516,28164105,MoE,>100B
4207,242,0.002212314,28165297,MoE,>100B
4355,540,0.002155044,28167338,MoE,>100B
576,43,0.002246144,28885082,MoE,>100B
2505,49,0.001233452,28894222,MoE,>100B
8179,224,0.00168953,29033645,MoE,>100B
3036,920,0.002847657,29066219,MoE,>100B
2498,2311,0.000841496,29985227,MoE,>100B
4293,193,0.001633869,30896662,MoE,>100B
3466,2543,0.002233615,30936383,MoE,>100B
216,2,0.001230622,31008254,MoE,>100B
48,1,0.001187832,32006900,MoE,>100B
5152,543,0.016580586,32990455,MoE,>100B
12948,281,0.001839751,33077600,MoE,>100B
22357,761,0.001625771,33122348,MoE,>100B
2243,902,0.000787535,33856480,MoE,>100B
4907,6,0.001635831,33859769,MoE,>100B
2503,223,0.001523219,34045237,MoE,>100B
4686,6,0.001785102,34902803,MoE,>100B
4355,535,0.001623651,34972477,MoE,>100B
2809,715,0.003370686,34975217,MoE,>100B
469,66,0.002343094,35893515,MoE,>100B
5588,67,0.000945395,35929732,MoE,>100B
1517,2,0.002406993,35999353,MoE,>100B
10801,696,0.000673515,36033577,MoE,>100B
2745,1940,0.00162343,36890861,MoE,>100B
605,63,0.00163428,37038193,MoE,>100B
2077,729,0.001588379,37064646,MoE,>100B
2504,1150,0.003602227,37074342,MoE,>100B
872,82,0.001540579,39962736,MoE,>100B
1113,476,0.002135354,40060380,MoE,>100B
187,0,0.001389023,41923138,MoE,>100B
1880,542,0.005367594,41979153,MoE,>100B
762,78,0.002089964,42124580,MoE,>100B
3270,681,0.00179839,42886706,MoE,>100B
6381,2683,0.001216772,42892618,MoE,>100B
718,63,0.002039743,42907877,MoE,>100B
2377,114,0.00158638,42971523,MoE,>100B
1133,536,0.00162895,42975443,MoE,>100B
174,2,0.001211083,42984433,MoE,>100B
8482,161,0.001299412,43102492,MoE,>100B
4588,535,0.002145764,43912396,MoE,>100B
8233,329,0.002184364,43917111,MoE,>100B
2963,148,0.001275802,43990074,MoE,>100B
8444,336,0.001475039,44012860,MoE,>100B
3407,116,0.001371242,44056928,MoE,>100B
3986,169,0.001223012,44980358,MoE,>100B
227,885,0.001886082,45858488,MoE,>100B
8266,393,0.00168796,45907498,MoE,>100B
1073,588,0.001247923,46035628,MoE,>100B
4439,274,0.003972634,47104161,MoE,>100B
4256,117,0.00168613,47912007,MoE,>100B
1107,2616,0.001312912,47913263,MoE,>100B
1711,8,0.002295435,47939738,MoE,>100B
3853,225,0.00153969,48865235,MoE,>100B
2420,154,0.001514419,49044015,MoE,>100B
3205,160,0.002123425,49970316,MoE,>100B
3313,179,0.00164618,50880445,MoE,>100B
2221,783,0.02617216,50904029,MoE,>100B
2097,859,0.000822912,50927414,MoE,>100B
470,70,0.000701621,50933228,MoE,>100B
2034,69,0.001171023,51930248,MoE,>100B
